No of Persons Voted,Duration_Min,Drama,Genre_Count,Description_Word_Count,Description_Char_Count,Written_by_freq,No of Persons Voted_Log,Release_Year,Film_Age,Release_Decade,Rating
118.0,572.0,1.0,1.0,144.0,990.0,3.0,4.77912349311153,1996.0,29.0,1990.0,7.4
241.0,99.0,1.0,3.0,83.0,542.0,2.0,5.488937726156687,1994.0,31.0,1990.0,8.3
106.0,107.0,1.0,1.0,40.0,250.0,1.0,4.672828834461906,1970.0,55.0,1970.0,7.3
147.0,136.0,1.0,1.0,123.0,763.0,1.0,4.997212273764115,1972.0,53.0,1970.0,8.1
85.0,187.0,1.0,2.0,36.0,242.0,1.0,4.454347296253507,2004.0,21.0,2000.0,7.8
4102.0,175.0,1.0,2.0,93.0,613.0,2.0,8.319473692442186,1972.0,53.0,1970.0,9.3
2677.0,165.0,1.0,1.0,90.0,525.0,5.0,7.8928255262511176,2014.0,11.0,2010.0,7.5
446.0,216.0,1.0,4.0,22.0,144.0,1.0,6.102558594613569,2002.0,23.0,2000.0,8.6
134.0,188.0,1.0,1.0,20.0,113.0,2.0,4.90527477843843,2004.0,21.0,2000.0,8.4
22.0,155.0,0.0,1.0,29.0,209.0,1.0,3.1354942159291497,1973.0,52.0,1970.0,7.7
67.0,145.0,1.0,2.0,20.0,121.0,1.0,4.219507705176107,2006.0,19.0,2000.0,7.7
23.0,94.0,1.0,3.0,9.0,62.0,1.0,3.1780538303479458,2002.0,23.0,2000.0,6.3
1872.0,118.0,1.0,3.0,85.0,497.0,2.0,7.5352967024440884,2006.0,19.0,2000.0,8.8
120.0,170.0,1.0,3.0,16.0,118.0,1.0,4.795790545596741,1994.0,31.0,1990.0,8.2
233.0,153.0,1.0,2.0,32.0,231.0,2.0,5.455321115357702,2002.0,23.0,2000.0,8.6
111.0,103.0,1.0,2.0,21.0,134.0,1.0,4.718498871295094,1989.0,36.0,1980.0,8.3
214.0,162.0,1.0,3.0,27.0,190.0,1.0,5.3706380281276624,1985.0,40.0,1980.0,8.5
150.0,101.0,1.0,3.0,79.0,436.0,1.0,5.017279836814924,2021.0,4.0,2020.0,8.1
49.0,122.0,1.0,3.0,50.0,287.0,1.0,3.912023005428146,2000.0,25.0,2000.0,8.2
248.0,113.0,1.0,1.0,52.0,333.0,4.0,5.517452896464707,2008.0,17.0,2000.0,8.0
2098.0,132.0,1.0,2.0,110.0,724.0,1.0,7.649216319820633,2019.0,6.0,2010.0,8.7
102.0,110.0,1.0,2.0,22.0,120.0,1.0,4.634728988229636,1973.0,52.0,1970.0,7.4
887.0,135.0,1.0,1.0,58.0,357.0,1.0,6.78897174299217,2018.0,7.0,2010.0,7.6
1850.0,125.0,0.0,5.0,45.0,263.0,5.0,7.523481312573497,2002.0,23.0,2000.0,8.8
1666.0,81.0,0.0,5.0,51.0,311.0,1.0,7.418780882750794,1995.0,30.0,1990.0,8.8
91.0,117.0,0.0,3.0,56.0,326.0,1.0,4.5217885770490405,2021.0,4.0,2020.0,7.9
1694.0,134.0,1.0,3.0,23.0,132.0,1.0,7.43543801981455,2013.0,12.0,2010.0,8.1
1064.0,137.0,1.0,1.0,94.0,551.0,3.0,6.970730078143525,2016.0,9.0,2010.0,8.2
77.0,121.0,1.0,2.0,82.0,494.0,1.0,4.356708826689592,2004.0,21.0,2000.0,8.4
28.0,0.0,1.0,1.0,62.0,380.0,1.0,3.367295829986474,2007.0,18.0,2000.0,7.6
30.0,160.0,1.0,3.0,24.0,148.0,1.0,3.4339872044851463,1975.0,50.0,1970.0,7.9
1801.0,111.0,0.0,5.0,90.0,523.0,1.0,7.496652438168283,2007.0,18.0,2000.0,8.6
21.0,190.0,1.0,2.0,48.0,339.0,1.0,3.091042453358316,2012.0,13.0,2010.0,8.0
109.0,112.0,1.0,3.0,66.0,399.0,1.0,4.700480365792417,1973.0,52.0,1970.0,7.3
3711.0,91.0,1.0,3.0,113.0,658.0,1.0,8.21932609390609,2013.0,12.0,2010.0,7.8
38.0,93.0,1.0,3.0,62.0,366.0,10.0,3.6635616461296463,1991.0,34.0,1990.0,7.8
38.0,93.0,1.0,3.0,62.0,366.0,10.0,3.6635616461296463,1991.0,34.0,1990.0,7.8
38.0,93.0,1.0,3.0,62.0,366.0,10.0,3.6635616461296463,1991.0,34.0,1990.0,7.8
38.0,93.0,1.0,3.0,49.0,294.0,10.0,3.6635616461296463,2017.0,8.0,2010.0,7.8
38.0,93.0,1.0,3.0,49.0,294.0,10.0,3.6635616461296463,2017.0,8.0,2010.0,7.8
38.0,93.0,1.0,3.0,49.0,294.0,10.0,3.6635616461296463,2017.0,8.0,2010.0,7.8
38.0,93.0,1.0,3.0,101.0,592.0,10.0,3.6635616461296463,2016.0,9.0,2010.0,7.8
38.0,93.0,1.0,3.0,101.0,592.0,10.0,3.6635616461296463,2016.0,9.0,2010.0,7.8
38.0,93.0,1.0,3.0,101.0,592.0,10.0,3.6635616461296463,2016.0,9.0,2010.0,7.8
62.0,68.0,1.0,2.0,25.0,160.0,1.0,4.143134726391533,2020.0,5.0,2020.0,6.1
44.0,110.0,1.0,4.0,31.0,178.0,1.0,3.8066624897703196,1973.0,52.0,1970.0,6.9
2336.0,120.0,1.0,2.0,84.0,526.0,1.0,7.756623334538858,2010.0,15.0,2010.0,8.2
388.0,122.0,1.0,2.0,78.0,491.0,4.0,5.963579343618446,2019.0,6.0,2010.0,8.4
232.0,93.0,0.0,2.0,62.0,386.0,1.0,5.4510384535657,2016.0,9.0,2010.0,5.7
